budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
1408,adult,2,0.56263852206719,705FB42BC3E6A61F751324497E128652930BA9777EB1C5D8565505F89DEA9A19,1,14608,0,lime_paired_slime_budget,hgb,0.003304223115086176,full,2816,0.14339000009931624,mean_shift,2,1.0,1.7871664856311375e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,3.869009408524051e-05,,
-1,adult,2,0.5591852157135753,175D95801A550820100DD16878EB87865609C354B30260C655BD417C89DFFA51,1,14608,0,slime_independent,hgb,0.0037539682319380975,full,2816,0.2250836999155581,mean_shift,2,1.0,1.249538716580418e-07,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,4.395628837034541e-05,,
256,adult,3,0.5528666616766861,E089D272D043EF014F5E84965EE69F9164E54A16AFD9347B4DCB5664EA5B0F39,1,14608,0,glime_independent,hgb,0.002333988441751745,full,512,0.05786330020055175,mean_shift,2,1.0,4.4529886311955747e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,2.7329338625150248e-05,,
256,adult,3,0.5937807891143917,EA8EDA26F3A4BEBCE136D3254FC25E94B516D823890340CBBA53BF412B8D1842,1,14608,0,kernelshap_independent,hgb,0.009117559989820953,full,516,0.06563519989140332,mean_shift,2,1.0,0.0005153868805094814,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,0.00011177401351172093,CB4778329136A30DE556CDA33BBFB7721377180C424DE9A23DC11C3BDB385F5A,14E6BBDB6D76C1E5B489713708C6DA0DF571E6C5D139D9ACB690FF787B154C2E
256,adult,3,0.5850798410179652,61A83AE0B6A157FD2246E15DB27F7D3151EE930113CBC126CBC30B3A2CD2BC4F,1,14608,0,kernelshap_paired,hgb,0.01147095499987261,full,516,0.06556220003403723,mean_shift,2,1.0,0.0001548762497490622,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,0.8,0.00014062475931932774,D45D4962A8DAE450670105B37BF643151E74D675CBCAFF361F3CA2AC9C91FB98,D45D4962A8DAE450670105B37BF643151E74D675CBCAFF361F3CA2AC9C91FB98
256,adult,3,0.5522014775921205,BCDEE9A2443019FFBA2884891B843D3463F2D7B941778BD940886C090A608BF0,1,14608,0,lime_independent,hgb,0.007466793998489853,full,512,0.057344699976965785,mean_shift,2,1.0,5.48806192820071e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,8.743082783898118e-05,,
256,adult,3,0.5533711096445573,46CAFCE6781BECC1327DFC302F0D26FEF999FFE3AFB730AF9EA126E8B388F6B5,1,14608,0,lime_paired,hgb,0.011685864406929246,full,512,0.07087450008839369,mean_shift,2,1.0,3.7393620447604344e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,0.00013683313070088007,,
256,adult,4,0.5636172146828873,A9822538C8FC808A4A403C571AC33E6C34D71313AD5C4AE6544A7C4FB619AE2E,1,14608,0,glime_independent,hgb,0.0071663893104087755,full,512,0.05020279996097088,mean_shift,2,1.0,2.8406206958789677e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,8.391330337386919e-05,,
256,adult,4,0.5746319363863179,34E54A9A06B3CB23F8B697BE76B7585F8B3C5496373E04B77AE039244A791011,1,14608,0,kernelshap_independent,hgb,0.007040817026711979,full,516,0.07017019996419549,mean_shift,2,1.0,1.0782726763541481e-07,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,8.631480114809905e-05,FAFD8F15B4A6F80606783325148B81178B5A3344AB9D231537C46D140351D1D1,BBE8EFE264B5CF86353CFA62C72A56FA710171BE8C25154796C4D04982495526
256,adult,4,0.5885068467055415,F281DF92925FE288990F19458E5FC22AFA89C1B3E9FECB38ECB13334D9918BD7,1,14608,0,kernelshap_paired,hgb,0.011326197971186848,full,516,0.0687623000703752,mean_shift,2,1.0,0.00027115605979380044,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,0.8,0.0001388501536026335,2FDCBF8B1997EED0D56FE160B810BDACD1E5B272F0CD21066C7DD54059DB5372,2FDCBF8B1997EED0D56FE160B810BDACD1E5B272F0CD21066C7DD54059DB5372
