dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable,expl_time_s
adult,logreg,missing,0.1,0,shap,0.8483586978775677,0.0171978434450283,0.0132461169769141,0.0092133663546272,0.8537292072534614,0.985,0.975,0.977,0.9808791208791208,0.9831656312154547,0.9843069985569984,0.9780033840947546,0.9786802030456854,0.9834216544876444,0.9873952818544416,0.984914042528256,0.3677947521209717
adult,logreg,missing,0.1,0,lime,0.8483586978775677,0.0171978434450283,0.0132461169769141,0.0092133663546272,0.8537292072534614,0.985,0.6888888888888888,0.6599999999999999,0.7862271062271063,0.9145920030526472,0.9033973433973432,0.6888888888888888,0.6599999999999999,0.7862271062271063,0.9145920030526472,0.9033973433973432,0.2531859874725342
adult,logreg,missing,0.1,0,pi,0.8483586978775677,0.0171978434450283,0.0132461169769141,0.0092133663546272,0.8537292072534614,0.985,1.0,1.0,0.9956043956043956,0.9984443797327368,1.0,,,,,,0.1655826568603515
adult,logreg,missing,0.2,0,shap,0.8416024022384495,0.0329625332696376,0.0259392542959189,0.017788470892836,0.8519374581605703,0.955,0.95,0.947,0.960879120879121,0.9729135695450968,0.9694354256854256,0.9633507853403142,0.9560209424083772,0.9678039238248664,0.9806514063990824,0.9716623981021888,0.4767882823944092
adult,logreg,missing,0.2,0,lime,0.8416024022384495,0.0329625332696376,0.0259392542959189,0.017788470892836,0.8519374581605703,0.955,0.6999999999999998,0.6799999999999999,0.7824175824175826,0.9143616981983144,0.8697297147297147,0.6896551724137929,0.6758620689655173,0.7765820386510043,0.9116127986606212,0.8652376359272911,0.493394136428833
adult,logreg,missing,0.2,0,pi,0.8416024022384495,0.0329625332696376,0.0259392542959189,0.017788470892836,0.8519374581605703,0.955,1.0,1.0,0.9604395604395608,0.9960695804504348,1.0,,,,,,0.2287511825561523
adult,logreg,missing,0.3,0,shap,0.8368934689142156,0.0491366955572237,0.0367486719585283,0.0238948331339958,0.849991729355836,0.935,0.92,0.9230000000000002,0.9322857142857144,0.9557418226406478,0.94969715007215,0.9340463458110516,0.93048128342246,0.9412822471646,0.96745093175605,0.9511976140318388,0.5314280986785889
adult,logreg,missing,0.3,0,lime,0.8368934689142156,0.0491366955572237,0.0367486719585283,0.0238948331339958,0.849991729355836,0.935,0.7666666666666667,0.6666666666666665,0.8134798534798535,0.9350044538613652,0.8935862285862285,0.75,0.6571428571428571,0.8050235478806907,0.931884780620586,0.89220818863676,0.304971694946289
adult,logreg,missing,0.3,0,pi,0.8368934689142156,0.0491366955572237,0.0367486719585283,0.0238948331339958,0.849991729355836,0.935,1.0,1.0,0.9164835164835166,0.9915777706207358,1.0,,,,,,0.1454968452453613
adult,logreg,missing,0.4,0,shap,0.8282945471917014,0.071521190199959,0.0494178634429726,0.0323350140545566,0.849459645713035,0.95,0.8933333333333333,0.8920000000000001,0.9177142857142856,0.9419354743107544,0.9382689393939394,0.9052631578947368,0.8989473684210527,0.9245344129554656,0.9517693822809132,0.9384535201640466,0.3688991069793701
adult,logreg,missing,0.4,0,lime,0.8282945471917014,0.071521190199959,0.0494178634429726,0.0323350140545566,0.849459645713035,0.95,0.7555555555555556,0.6533333333333337,0.8029304029304032,0.928410262202128,0.9022209272209272,0.7471264367816093,0.6551724137931036,0.7970443349753696,0.9262596507380488,0.8988492350561316,0.3505127429962158
adult,logreg,missing,0.4,0,pi,0.8282945471917014,0.071521190199959,0.0494178634429726,0.0323350140545566,0.849459645713035,0.95,0.6666666666666666,0.8,0.9164835164835166,0.9678964037979926,1.0,,,,,,0.1492457389831543
adult,logreg,missing,0.5,0,shap,0.8188084351327374,0.0853750085306763,0.0600329016914575,0.0403530408425289,0.8477221683195941,0.92,0.8716666666666666,0.878,0.9012527472527474,0.9346269101792944,0.9242128427128428,0.8894927536231884,0.8891304347826088,0.907596751075012,0.9469316247320896,0.9227468787251396,0.4317719936370849
adult,logreg,missing,0.5,0,lime,0.8188084351327374,0.0853750085306763,0.0600329016914575,0.0403530408425289,0.8477221683195941,0.92,0.7444444444444446,0.62,0.7857875457875458,0.9198898617844764,0.8917155067155066,0.7356321839080461,0.6206896551724139,0.7846153846153846,0.9185276722782776,0.8879815586712136,0.5094406604766846
adult,logreg,missing,0.5,0,pi,0.8188084351327374,0.0853750085306763,0.0600329016914575,0.0403530408425289,0.8477221683195941,0.92,0.6666666666666666,0.8,0.8461538461538461,0.97364471144176,1.0,,,,,,0.1799108982086181
adult,logreg,quantize,32.0,0,shap,0.8506107964239404,0.0111240019108714,0.0108683296578346,0.0087382524647184,0.8518850647422689,0.985,0.9766666666666666,0.964,0.991978021978022,0.9984506238870312,1.0,0.9780033840947546,0.964467005076142,0.9919227980141684,0.998534497323901,1.0,0.4907598495483398
adult,logreg,quantize,32.0,0,lime,0.8506107964239404,0.0111240019108714,0.0108683296578346,0.0087382524647184,0.8518850647422689,0.985,0.711111111111111,0.6666666666666669,0.7929670329670331,0.9260492500968602,0.8899602249602249,0.711111111111111,0.6666666666666669,0.7929670329670331,0.9260492500968602,0.8899602249602249,0.3911154270172119
adult,logreg,quantize,32.0,0,pi,0.8506107964239404,0.0111240019108714,0.0108683296578346,0.0087382524647184,0.8518850647422689,0.985,1.0,1.0,0.9956043956043956,0.9998355320791984,1.0,,,,,,0.1154983043670654
adult,logreg,quantize,16.0,0,shap,0.8508837780659251,0.0232716849791851,0.0231644422782763,0.0198521878858113,0.8469792048376509,0.98,0.955,0.959,0.9836703296703296,0.9947588196745948,1.0,0.95578231292517,0.9581632653061224,0.9836734693877552,0.994739683500856,1.0,0.4041955471038818
adult,logreg,quantize,16.0,0,lime,0.8508837780659251,0.0232716849791851,0.0231644422782763,0.0198521878858113,0.8469792048376509,0.98,0.7111111111111111,0.6733333333333335,0.8196336996336998,0.9345679136974272,0.8962420912420913,0.7111111111111111,0.6733333333333335,0.8196336996336998,0.9345679136974272,0.8962420912420913,0.2647497653961181
adult,logreg,quantize,16.0,0,pi,0.8508837780659251,0.0232716849791851,0.0231644422782763,0.0198521878858113,0.8469792048376509,0.98,1.0,1.0,0.9956043956043956,0.9997703108853988,1.0,,,,,,0.1207509040832519
