candidate_indices_sha256,channel,crossfit_auc,crossfit_auprc,dataset,independent_mask_difference,label,model,paired_mask_identity,phase,query_total,reference_indices_sha256,replicate,representation_sha256,runtime_sec,scenario,score,seed,severity,severity_index,split,window_size,threshold,alarm
26FF9145B5493DE0AFE344BB34825E4D7C375A05E514407E6D21CDFECF3B257B,output,0.9921875,0.9924172794117647,adult,,1,hgb,,full,0,3A04BA53AF0645258CC427CBAC6F7729CD42E61736A83BCC94B57EE093F340C5,1,3A174ED773EE21AEC4A95605B63B03E6E0DA1AA5DE3191393420D6BA9949F5DC,0.735471700085327,mean_shift,0.984375,0,1.0,3,calibration,16,0.46875,True
5D5810E227141335CBF4600D6707B037512E2CE84BD923CF4090C9F1F7847691,explanation_independent,,,adult,True,1,hgb,True,full,4096,2DE6B456E24912B38892615134E1E0ABB3AD327252163DDD26001E9713BA3D2C,0,C4831AFE441D4E21E0B868C34C7DD8003794FC9D04A86354A648833C27D041E7,0.666533200070262,mean_shift,1.3892084784276422,0,2.0,5,calibration,16,0.9527189849109015,True
5D5810E227141335CBF4600D6707B037512E2CE84BD923CF4090C9F1F7847691,explanation_paired,,,adult,True,1,hgb,True,full,4096,2DE6B456E24912B38892615134E1E0ABB3AD327252163DDD26001E9713BA3D2C,0,C425DD70F9CB8ECC41DAAF2F8B4E9FF5E365C2E9DA8946413535CEBF36ABB8FE,0.6665352000854909,mean_shift,1.4060092078261115,0,2.0,5,calibration,16,0.9527189849109015,True
5D5810E227141335CBF4600D6707B037512E2CE84BD923CF4090C9F1F7847691,explanation_shift,0.96875,0.9618384832079685,adult,,1,hgb,,full,0,2DE6B456E24912B38892615134E1E0ABB3AD327252163DDD26001E9713BA3D2C,0,7E0830F54D08F08E37CA200C9F11FB168855EB1C0EA84E965FBADDE53223CB2E,0.7551337000913918,mean_shift,0.9375,0,2.0,5,calibration,16,0.4765625,True
5D5810E227141335CBF4600D6707B037512E2CE84BD923CF4090C9F1F7847691,input,0.85546875,0.869292385514812,adult,,1,hgb,,full,0,2DE6B456E24912B38892615134E1E0ABB3AD327252163DDD26001E9713BA3D2C,0,8B75C8BFFEBE9BA248339DE0EFBD537A328CC433981D95FDC855AE24B601C53D,0.7551296001765877,mean_shift,0.7109375,0,2.0,5,calibration,16,0.5859375,True
5D5810E227141335CBF4600D6707B037512E2CE84BD923CF4090C9F1F7847691,output,0.953125,0.9277363006682859,adult,,1,hgb,,full,0,2DE6B456E24912B38892615134E1E0ABB3AD327252163DDD26001E9713BA3D2C,0,095E5FC5002A00420E762655A81708D23C66AD092B8FD471D09034EA4D9C7C24,0.7551323999650776,mean_shift,0.90625,0,2.0,5,calibration,16,0.46875,True
433043A8366205A0A32EA3080B4FDC6843FCE63686A02277D51202F94A3D7DB8,explanation_independent,,,adult,True,1,hgb,True,full,4096,34E4F1869B703A72D5D1BC6D9914886D4558E5CE1511705ACA379652E41C6597,1,01C575397D7765AF756DFEE22A7AC8DAFFADB49994F33910DF440B1DE2BBBA0B,0.6967613999731839,mean_shift,1.384880101674732,0,2.0,5,calibration,16,0.9527189849109015,True
433043A8366205A0A32EA3080B4FDC6843FCE63686A02277D51202F94A3D7DB8,explanation_paired,,,adult,True,1,hgb,True,full,4096,34E4F1869B703A72D5D1BC6D9914886D4558E5CE1511705ACA379652E41C6597,1,7DF14011B37D49DB5139655F353E60119CF3E828D1AE3370D0C5B981F536D629,0.6967636998742819,mean_shift,1.3821728192903737,0,2.0,5,calibration,16,0.9527189849109015,True
433043A8366205A0A32EA3080B4FDC6843FCE63686A02277D51202F94A3D7DB8,explanation_shift,0.8984375,0.825741474960225,adult,,1,hgb,,full,0,34E4F1869B703A72D5D1BC6D9914886D4558E5CE1511705ACA379652E41C6597,1,4773E73E164CAB1D5BE609FEBC471A0D56DC792145E929DAB8DB43B5E645801D,0.7949447999708354,mean_shift,0.796875,0,2.0,5,calibration,16,0.4765625,True
433043A8366205A0A32EA3080B4FDC6843FCE63686A02277D51202F94A3D7DB8,input,0.99609375,0.9963235294117647,adult,,1,hgb,,full,0,34E4F1869B703A72D5D1BC6D9914886D4558E5CE1511705ACA379652E41C6597,1,34A2DCADED060AE87B252CFFB22BFCEDCFD6A693365EB8C9B8B125F3F99CD2E2,0.7949385999236256,mean_shift,0.9921875,0,2.0,5,calibration,16,0.5859375,True
