dataset,model,seed,budget_instances,budget_samples,scenario,severity,n_explained,method,fit_time_s,pred_base_time_s,pred_time_s,expl_time_s,context_cache_hit,base_cache_hit,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,1,150,2000,baseline,0.0,150,lime,1.837573766708374,0.0966660976409912,0.1562027931213379,14.731764793395996,False,False,0.8755886166655292,0.0,0.0,0.0096424524558152,0.8783168590876912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,1,150,2000,gradual,1.0,150,lime,1.837573766708374,0.0966660976409912,0.1025178432464599,14.629903554916382,False,False,0.239609636251962,0.7913055347027912,0.7501386356634471,0.7497391428172652,0.9891086855161948,0.2133333333333333,0.56,0.5666666666666665,0.4588424908424909,0.8534863818248025,0.7036657231657232,0.5,0.5375,0.3884615384615384,0.584474408738336,0.639635884948385
adult,hgb,1,150,2000,mean_shift,2.0,150,lime,1.837573766708374,0.0966660976409912,0.1023828983306884,14.636871337890623,False,False,0.239131918378489,0.7920562342182488,0.7551742782984979,0.7544754134819908,0.9935404489740968,0.2066666666666666,0.4933333333333333,0.5279999999999999,0.3404249084249084,0.7968502437875385,0.6505135975135975,0.4516129032258064,0.5161290322580645,0.2477844735909252,0.4970923507003529,0.5773634967183354
adult,hgb,1,150,2000,missing,0.5,150,lime,1.837573766708374,0.0966660976409912,0.1175591945648193,14.646920442581177,False,False,0.8439227461953184,0.0750699515457585,0.0708958693864838,0.015033992631506,0.854701313795038,0.9466666666666668,0.6666666666666666,0.6546666666666666,0.5813919413919414,0.9081864236448686,0.7639100344100344,0.6643192488262911,0.6535211267605634,0.5821389877727906,0.9129153772758876,0.7682421451787649
adult,hgb,1,150,2000,noise,1.0,150,lime,1.837573766708374,0.0966660976409912,0.1167027950286865,14.74335765838623,False,False,0.7135740121476831,0.2545553811506176,0.2442129014828784,0.2096192503020614,0.917657486638542,0.76,0.5444444444444446,0.604,0.5285567765567766,0.7480333836704248,0.7355676545676545,0.5409356725146198,0.6087719298245613,0.5265856950067477,0.7281937140304457,0.7358449299238773
adult,hgb,1,150,2000,quantize,2.0,150,lime,1.837573766708374,0.0966660976409912,0.114450454711914,14.83715271949768,False,False,0.7947178052275985,0.1732750972497099,0.2000411648261593,0.1984357199479062,0.9931354088971944,0.8333333333333334,0.6444444444444444,0.6133333333333333,0.5751208791208793,0.90835306593126,0.7439875864875866,0.6426666666666668,0.5904,0.5657846153846153,0.9388221416359708,0.7511656121656121
adult,hgb,2,30,500,baseline,0.0,30,lime,1.7471742630004885,0.1372418403625488,0.155689001083374,2.4509425163269043,False,False,0.8689005664369072,0.0,0.0,0.0098631358604977,0.8763767434889361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,2,30,500,gradual,1.0,30,lime,1.7471742630004885,0.1372418403625488,0.1262753009796142,2.293351650238037,False,False,0.245751723196615,0.793079915375691,0.6985841971712634,0.693667552879816,0.934314361259492,0.2,0.5444444444444444,0.52,0.3473992673992674,0.8127064686992906,0.6222402597402596,0.5555555555555556,0.5333333333333333,0.4952380952380952,0.7032414939942037,0.6815832315832315
adult,hgb,2,30,500,mean_shift,2.0,30,lime,1.7471742630004885,0.1372418403625488,0.0961141586303711,2.2418344020843506,False,False,0.239131918378489,0.8014741008667167,0.7571201876562227,0.753972391199693,0.9928606656546404,0.2,0.5444444444444444,0.4733333333333333,0.2646153846153846,0.7348729369392757,0.5707513782513782,0.5000000000000001,0.4333333333333333,0.271062271062271,0.6369883995556443,0.5594017094017094
adult,hgb,2,30,500,missing,0.5,30,lime,1.7471742630004885,0.1372418403625488,0.1373951435089111,2.445434808731079,False,False,0.8426260833958916,0.0687231283696171,0.0690420953459455,0.0184567047913239,0.8522308661996892,0.8333333333333334,0.5888888888888888,0.6266666666666668,0.4665201465201464,0.8316175144253758,0.6927592777592778,0.56,0.624,0.4507252747252747,0.8325538709072707,0.6827641247641247
adult,hgb,2,30,500,noise,1.0,30,lime,1.7471742630004885,0.1372418403625488,0.1431608200073242,2.42450213432312,False,False,0.7244932778270662,0.2448645328601651,0.2329757116124509,0.1930387682962815,0.9148561767691412,0.7666666666666667,0.5222222222222223,0.5,0.404102564102564,0.724400535689347,0.6614414289414291,0.5507246376811594,0.4956521739130435,0.4069756330625894,0.7366948100755453,0.6712051233790363
adult,hgb,2,30,500,quantize,2.0,30,lime,1.7471742630004885,0.1372418403625488,0.1342122554779052,2.346843004226685,False,False,0.7937623694806524,0.1650856479901726,0.190853486324531,0.1916452359061689,0.9854076053868216,0.8,0.6,0.5733333333333335,0.4136263736263735,0.8458450459008766,0.6405763680763681,0.5972222222222222,0.5750000000000001,0.3826007326007326,0.8709650912411385,0.6129050347800348
adult,hgb,2,75,1000,baseline,0.0,75,lime,1.7471742630004885,0.1189260482788086,0.158158540725708,6.901082992553711,False,False,0.8689005664369072,0.0,0.0,0.0098631358604977,0.8763767434889361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,2,75,1000,gradual,1.0,75,lime,1.7471742630004885,0.1189260482788086,0.1015517711639404,6.819621801376343,False,False,0.245751723196615,0.793079915375691,0.6985841971712634,0.693667552879816,0.934314361259492,0.2533333333333333,0.5288888888888889,0.4906666666666667,0.4374798534798534,0.8341484743870935,0.717983497983498,0.4210526315789473,0.4210526315789473,0.329786003470214,0.6115247680506988,0.6846996570680781
adult,hgb,2,75,1000,mean_shift,2.0,75,lime,1.7471742630004885,0.1189260482788086,0.1002345085144043,6.63199257850647,False,False,0.239131918378489,0.8014741008667167,0.7571201876562227,0.753972391199693,0.9928606656546404,0.24,0.4755555555555557,0.5066666666666667,0.3237216117216117,0.7799525437514925,0.6196155696155695,0.4074074074074074,0.4444444444444444,0.3724053724053724,0.547879218675398,0.6098376931710265
