arm,dataset,split,model,scenario,instance,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,leverage,192,1.2098653460415977e-06,5.0779921745415515e-06,1.7200108064077437e-08,-2.1272964128745795e-08,1.2311383101703434e-06,0.0,1.284894721020678e-06,5.392902077739501e-06,3.884270606228128e-08,-1.3525202266992542e-09,1.286247241247377e-06,0.0,0.23825663854057164,-7.395388000619606e-08,-1.0754949728884903e-09,4.294308150069043e-21
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,poly3,128,8.139537454466593e-05,0.0003416289889895575,5.1857734302290625e-05,5.0904907197697876e-05,3.0490467346968038e-05,0.13749999999999998,7.554110111281224e-05,0.0003170576970091379,4.891974280589851e-05,4.80609893121271e-05,2.7480111800685152e-05,0.14375,0.23825663854057164,-4.351420183313337e-06,1.0205693615167011e-05,1.1858461261560205e-20
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,poly3,192,1.0219798525200768e-05,4.289407668890823e-05,3.818929504746898e-06,3.612449858925805e-06,6.607348666274963e-06,0.031249999999999993,9.449002663296447e-06,3.965892711815213e-05,4.6675983988637715e-06,4.513359551624008e-06,4.935643111672439e-06,0.018749999999999996,0.23825663854057164,-7.635402790091368e-07,1.5343361409134635e-06,-5.929230630780102e-21
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,ks_iid,512,0.00034925898175588305,0.0012071890023450426,1.0219396577901017e-05,-7.1736423429195e-07,0.00034997634599017493,0.26875000000000004,0.006803882105583063,0.023517137941073876,0.00018007859885489974,-3.3592482007299105e-05,0.006837474587590363,0.4375,0.28931590751524816,0.00011134430067532184,-0.0065659674245025015,0.0
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,ks_iid,1024,0.00016806478921699015,0.0005809040735450484,8.19369518801779e-06,3.0365631225670688e-06,0.00016502822609442306,0.26875,0.0029435425393984195,0.010174146885591774,8.817633024397659e-05,-3.932257148102198e-06,0.0029474747965465213,0.30625,0.28931590751524816,8.977032953657154e-05,-0.0028652480797180012,4.336808689942018e-19
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,ks_complement,512,4.601363527145048e-05,0.00015904288038163047,1.2997082216287808e-06,-1.4267652191385451e-07,4.615631179336433e-05,0.14374999999999996,8.56612184203052e-05,0.0002960819512345359,2.6203711013437573e-06,-5.836590894532238e-08,8.571958432925055e-05,0.19374999999999998,0.28931590751524816,1.028232184792175e-05,-4.992990499677649e-05,1.3552527156068805e-20
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,ks_complement,1024,2.346781247009477e-05,8.111483627583775e-05,6.350980233241096e-07,-1.0144115237816981e-07,2.3569253622472942e-05,0.05624999999999999,4.0231865175829004e-05,0.00013905860041141574,2.587242689359933e-06,1.372900028506092e-06,3.885896514732291e-05,0.11874999999999998,0.28931590751524816,6.418900122075921e-06,-2.3182952827810155e-05,0.0
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,leverage,512,2.1023292029812006e-05,7.266552403000512e-05,5.855391353807638e-07,-7.374321605250206e-08,2.1097035245864507e-05,0.06874999999999998,4.334941337419194e-05,0.0001498341855672324,1.32702039600215e-06,-2.8540667810423813e-08,4.337795404200236e-05,0.13749999999999996,0.28931590751524816,-2.4423631788031576e-06,-1.9883758165576773e-05,-3.3881317890172014e-21
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,leverage,1024,8.527264634385446e-06,2.9473887929705433e-05,2.7078605980365057e-07,4.4480412687539235e-09,8.522816593116693e-06,0.024999999999999994,1.8157825167173603e-05,6.276124020666443e-05,7.006018064843169e-07,1.374655690427271e-07,1.8020359598130875e-05,0.08749999999999998,0.28931590751524816,-5.984107039558483e-07,-9.032149828832305e-06,-3.3881317890172014e-21
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,poly3,512,0.001907291652684631,0.0065924188858647835,0.0018414577083379793,0.0018393340327138939,6.795761997073725e-05,0.29375,0.003203511144558038,0.011072710007793814,0.0025029281533101933,0.0024803287019796176,0.0007231824425784203,0.32499999999999996,0.28931590751524816,-0.0016189498923438825,0.00032273040047047505,5.421010862427522e-19
E1,adult,11,logreg,mean_shift,2,E1-adult-11-logreg-mean_shift-2,poly3,1024,0.0005036750092541794,0.00174091709501882,0.0004489587818440838,0.0004471937422502097,5.648126700396964e-05,0.24374999999999997,0.000825301847131698,0.0028525975437012608,0.00035179593120154845,0.0003365215468167049,0.000488780300314993,0.26875,0.28931590751524816,0.00024285468863359468,-0.0005644815265111132,-1.0842021724855044e-19
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,ks_iid,128,3.319116084497754e-05,8.872973474742537e-05,5.253876074235242e-07,-5.283470131427342e-07,3.371950785812027e-05,0.10624999999999997,2.1638406979201474e-05,5.7845825898912864e-05,4.5019824721184997e-07,-2.3329235704587993e-07,2.1871699336247357e-05,0.07499999999999998,0.37407032647463917,3.7086516396932784e-07,1.1181888701806698e-05,4.2351647362715017e-20
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,ks_iid,192,1.80206735390466e-05,4.817456040653988e-05,3.9398198469701233e-07,-1.7462096866910322e-07,1.8195294507715698e-05,0.08124999999999999,1.336847221609025e-05,3.5737858017445796e-05,3.1235798815753546e-07,-1.0880698693706816e-07,1.3477279203027316e-05,0.08124999999999999,0.37407032647463917,-1.7183099773655824e-06,6.370511300321909e-06,2.1175823681357508e-20
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,ks_complement,128,1.4767423716964337e-06,3.947766682307404e-06,1.0197458518320812e-07,5.762723723116858e-08,1.4191151344652652e-06,0.0,1.9714042807271182e-06,5.270143449511955e-06,8.27227270124942e-08,2.1797515602345043e-08,1.949606765124773e-06,0.0,0.37407032647463917,2.1470278546702461e-07,-7.093646944976962e-07,-1.291725244562808e-20
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,ks_complement,192,8.158291149157303e-07,2.1809511666011313e-06,7.961514542702605e-09,-1.8098730630620875e-08,8.339278455463514e-07,0.0,1.3164763662834592e-06,3.51932851421379e-06,4.0979141540068314e-08,-1.6593022584752526e-10,1.3166422965093069e-06,0.0,0.37407032647463917,-8.360297384162945e-08,-4.1704427752609813e-07,-1.3234889800848443e-21
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,leverage,128,3.2460561193683e-07,8.677662700380947e-07,1.315300020106393e-08,3.1061417579747022e-09,3.214994701788553e-07,0.0,5.192630226988027e-07,1.3881427794407186e-06,9.668142859522041e-09,-6.770401651422493e-09,5.260334243502251e-07,0.0,0.37407032647463917,-2.3004871622568685e-08,-1.716525391394014e-07,-2.5940384009662948e-21
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,leverage,192,8.15168878217285e-08,2.179186159724837e-07,2.735224269542537e-09,1.938802839881514e-10,8.132300753774034e-08,0.0,1.249387514920764e-07,3.3399802831071894e-07,2.3368457201418398e-09,-1.6180544660495976e-09,1.26556805958126e-07,0.0,0.37407032647463917,-1.9405824575549083e-08,-2.4016039094801884e-08,3.0605682664462024e-21
E1,electricity,11,logreg,mean_shift,2,E1-electricity-11-logreg-mean_shift-2,poly3,128,2.2838766959607274e-05,6.105474116283766e-05,1.3676792908832623e-05,1.3381245358807634e-05,9.45752160079964e-06,0.04999999999999999,1.7880397236430664e-05,4.779956059316804e-05,1.208714320805165e-05,1.1900264045845875e-05,5.980133190584788e-06,0.031249999999999993,0.37407032647463917,8.061221570339398e-07,4.152247566142684e-06,-1.3552527156068805e-20
