dataset,model,scenario,method,sev_idx,top5_instability_seed_mean
electricity,hgb,quantize,lime,3,0.1519999999999999
electricity,hgb,quantize,lime,4,0.23599999999999977
electricity,hgb,quantize,lime,5,0.2853333333333332
electricity,hgb,quantize,pi,1,0.11999999999999988
electricity,hgb,quantize,pi,2,0.08000000000000007
electricity,hgb,quantize,pi,3,0.08000000000000007
electricity,hgb,quantize,pi,4,0.0
electricity,hgb,quantize,pi,5,0.32000000000000006
electricity,hgb,quantize,shap,1,0.134
electricity,hgb,quantize,shap,2,0.15700000000000003
electricity,hgb,quantize,shap,3,0.18359999999999999
electricity,hgb,quantize,shap,4,0.18119999999999992
electricity,hgb,quantize,shap,5,0.2538
electricity,logreg,gradual,lime,1,0.028000000000000136
electricity,logreg,gradual,lime,2,0.06266666666666665
electricity,logreg,gradual,lime,3,0.08266666666666667
electricity,logreg,gradual,lime,4,0.08666666666666656
electricity,logreg,gradual,lime,5,0.11466666666666647
electricity,logreg,gradual,pi,1,0.0
electricity,logreg,gradual,pi,2,0.0
electricity,logreg,gradual,pi,3,0.0
electricity,logreg,gradual,pi,4,0.0
electricity,logreg,gradual,pi,5,0.040000000000000036
