analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,1.0,cosine_all,0.8837024813205505,0.8772050627676123,0.8894821690182941,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,1.0,cosine_all,0.8712832307171112,0.8638965410593071,0.8779415652940615,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,1.0,cosine_all,0.8839636511133551,0.8782113111054219,0.8920549261074461,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,1.0,cosine_all,0.8958605621311854,0.8779810422527632,0.909960154221749,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,1.0,sign_all,0.8125649689816358,0.8039254452080842,0.821791451347007,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,1.0,sign_all,0.7571670798337465,0.7416045127711794,0.76800703000703,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,1.0,sign_all,0.877530472613806,0.8653924193090861,0.8912519795019795,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,1.0,sign_all,0.8029973544973545,0.7868359788359789,0.8230925925925927,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,1.0,spearman_all,0.6821154318098199,0.665960253128661,0.697423213415438,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,1.0,spearman_all,0.5860630710285883,0.5463247863247863,0.6181920761231108,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,1.0,spearman_all,0.812875816993464,0.796326797385621,0.8284248366013071,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,1.0,spearman_all,0.6474074074074075,0.622910052910053,0.6750793650793653,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,1.0,top3_all,0.7200000000000001,0.7064197530864198,0.7358024691358024,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,1.0,top3_all,0.7162962962962962,0.6933333333333334,0.7392592592592593,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,1.0,top3_all,0.7496296296296296,0.737037037037037,0.7592592592592592,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,1.0,top3_all,0.6940740740740741,0.6637037037037038,0.737037037037037,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,1.0,top5_all,0.733925925925926,0.7234074074074076,0.745037037037037,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,1.0,top5_all,0.6693333333333334,0.6542222222222224,0.6853333333333335,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,1.0,top5_all,0.7697777777777779,0.760888888888889,0.7786666666666667,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,1.0,top5_all,0.7626666666666668,0.7351111111111113,0.7902222222222223,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.25,cosine_all,0.9868177828067765,0.9859965625599696,0.9876692739518321,3,15,10000,seed_cluster_within_fixed_dataset_stratum
