record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,adult,rf,2.0,lime,local_attribution,ece_increase,cosine_instability,0.7507692307692307,ok,0.7507692307692307,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,3.0,lime,local_attribution,ece_increase,cosine_instability,0.8392307692307692,ok,0.8392307692307692,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,4.0,lime,local_attribution,ece_increase,cosine_instability,0.8546153846153846,ok,0.8546153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,0.0,lime,local_attribution,ece_increase,cosine_instability,0.8784615384615384,ok,0.8784615384615384,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,1.0,lime,local_attribution,ece_increase,cosine_instability,0.8876923076923076,ok,0.8876923076923076,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,2.0,lime,local_attribution,ece_increase,cosine_instability,0.9253846153846155,ok,0.9253846153846155,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,3.0,lime,local_attribution,ece_increase,cosine_instability,0.8884615384615385,ok,0.8884615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,hgb,4.0,lime,local_attribution,ece_increase,cosine_instability,0.8846153846153847,ok,0.8846153846153847,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,0.0,lime,local_attribution,ece_increase,cosine_instability,0.37,ok,0.37,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,1.0,lime,local_attribution,ece_increase,cosine_instability,0.3715384615384616,ok,0.3715384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,2.0,lime,local_attribution,ece_increase,cosine_instability,0.546923076923077,ok,0.546923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,3.0,lime,local_attribution,ece_increase,cosine_instability,0.5538461538461539,ok,0.5538461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,logreg,4.0,lime,local_attribution,ece_increase,cosine_instability,0.3876923076923077,ok,0.3876923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,0.0,lime,local_attribution,ece_increase,cosine_instability,0.6992307692307692,ok,0.6992307692307692,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,1.0,lime,local_attribution,ece_increase,cosine_instability,0.726153846153846,ok,0.726153846153846,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,2.0,lime,local_attribution,ece_increase,cosine_instability,0.7061538461538461,ok,0.7061538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,3.0,lime,local_attribution,ece_increase,cosine_instability,0.6953846153846154,ok,0.6953846153846154,,,25,1,0,single_seed_block
block,within_dataset_model_seed,bank-marketing,rf,4.0,lime,local_attribution,ece_increase,cosine_instability,0.6992307692307692,ok,0.6992307692307692,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,0.0,lime,local_attribution,ece_increase,cosine_instability,0.8461538461538461,ok,0.8461538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,1.0,lime,local_attribution,ece_increase,cosine_instability,0.8623076923076922,ok,0.8623076923076922,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,2.0,lime,local_attribution,ece_increase,cosine_instability,0.8723076923076923,ok,0.8723076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,3.0,lime,local_attribution,ece_increase,cosine_instability,0.8561538461538462,ok,0.8561538461538462,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,hgb,4.0,lime,local_attribution,ece_increase,cosine_instability,0.8353846153846154,ok,0.8353846153846154,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,0.0,lime,local_attribution,ece_increase,cosine_instability,0.9476923076923076,ok,0.9476923076923076,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,1.0,lime,local_attribution,ece_increase,cosine_instability,0.9061538461538461,ok,0.9061538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,2.0,lime,local_attribution,ece_increase,cosine_instability,0.9407692307692307,ok,0.9407692307692307,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,3.0,lime,local_attribution,ece_increase,cosine_instability,0.9153846153846154,ok,0.9153846153846154,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,logreg,4.0,lime,local_attribution,ece_increase,cosine_instability,0.9138461538461539,ok,0.9138461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,0.0,lime,local_attribution,ece_increase,cosine_instability,0.7500000000000001,ok,0.7500000000000001,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,1.0,lime,local_attribution,ece_increase,cosine_instability,0.7769230769230768,ok,0.7769230769230768,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,2.0,lime,local_attribution,ece_increase,cosine_instability,0.7938461538461539,ok,0.7938461538461539,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,3.0,lime,local_attribution,ece_increase,cosine_instability,0.7669230769230769,ok,0.7669230769230769,,,25,1,0,single_seed_block
block,within_dataset_model_seed,electricity,rf,4.0,lime,local_attribution,ece_increase,cosine_instability,0.7415384615384616,ok,0.7415384615384616,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,0.0,lime,local_attribution,flip,cosine_instability,0.9721100391402382,ok,0.9721100391402382,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,1.0,lime,local_attribution,flip,cosine_instability,0.9709559710288728,ok,0.9709559710288728,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,2.0,lime,local_attribution,flip,cosine_instability,0.9676923076923077,ok,0.9676923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,3.0,lime,local_attribution,flip,cosine_instability,0.96,ok,0.96,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,4.0,lime,local_attribution,flip,cosine_instability,0.9592307692307691,ok,0.9592307692307691,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,0.0,lime,local_attribution,flip,cosine_instability,0.9700000000000001,ok,0.9700000000000001,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,1.0,lime,local_attribution,flip,cosine_instability,0.8853846153846154,ok,0.8853846153846154,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,2.0,lime,local_attribution,flip,cosine_instability,0.9784615384615385,ok,0.9784615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,3.0,lime,local_attribution,flip,cosine_instability,0.9700000000000001,ok,0.9700000000000001,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,4.0,lime,local_attribution,flip,cosine_instability,0.9684615384615385,ok,0.9684615384615385,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,0.0,lime,local_attribution,flip,cosine_instability,0.91,ok,0.91,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,1.0,lime,local_attribution,flip,cosine_instability,0.8769230769230769,ok,0.8769230769230769,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,2.0,lime,local_attribution,flip,cosine_instability,0.9092307692307693,ok,0.9092307692307693,,,25,1,0,single_seed_block
